length_string	hash_name	number_strings	collision_proportion
10	ELF	410000	0.00113171
10	ELF	420000	0.00116429
10	ELF	430000	0.00118372
10	ELF	440000	0.00119773
10	ELF	450000	0.00122
10	ELF	460000	0.00123913
10	ELF	470000	0.00125106
10	ELF	480000	0.00127083
10	ELF	490000	0.00128776
10	ELF	500000	0.001326
10	ELF	510000	0.00134706
10	ELF	520000	0.00136923
10	ELF	530000	0.00141321
10	ELF	540000	0.00143148
10	ELF	550000	0.00144727
10	ELF	560000	0.00146786
10	ELF	570000	0.00148947
10	ELF	580000	0.00151379
10	ELF	590000	0.00153051
10	ELF	600000	0.00156333
10	ELF	610000	0.00158525
10	ELF	620000	0.00159839
10	ELF	630000	0.00161905
10	ELF	640000	0.00164531
10	ELF	650000	0.00166923
10	ELF	660000	0.00168939
10	ELF	670000	0.00172537
10	ELF	680000	0.00174559
10	ELF	690000	0.0017942
10	ELF	700000	0.00181143
10	ELF	710000	0.00182394
10	ELF	720000	0.00184861
10	ELF	730000	0.00187397
10	ELF	740000	0.0019027
10	ELF	750000	0.001908
10	ELF	760000	0.00193553
10	ELF	770000	0.00196364
10	ELF	780000	0.00198205
10	ELF	790000	0.00200759
10	ELF	800000	0.002025
10	ELF	810000	0.00205309
10	ELF	820000	0.00207927
10	ELF	830000	0.00210361
10	ELF	840000	0.002125
10	ELF	850000	0.00215412
10	ELF	860000	0.00217791
10	ELF	870000	0.00220115
10	ELF	880000	0.00222159
10	ELF	890000	0.00223708
10	ELF	900000	0.00225556
10	ELF	910000	0.00227912
10	ELF	920000	0.00228913
10	ELF	930000	0.00232043
10	ELF	940000	0.00235426
10	ELF	950000	0.00238105
10	ELF	960000	0.00240729
10	ELF	970000	0.00243814
10	ELF	980000	0.00245204
10	ELF	990000	0.00247273
10	ELF	1000000	0.0025
10	BKDR	10000	0
10	BKDR	20000	0
10	BKDR	30000	0
10	BKDR	40000	0
10	BKDR	50000	0
10	BKDR	60000	0
10	BKDR	70000	0
10	BKDR	80000	0
10	BKDR	90000	0
10	BKDR	100000	0
10	BKDR	110000	0
10	BKDR	120000	8.33333e-06
10	BKDR	130000	7.69231e-06
10	BKDR	140000	1.42857e-05
10	BKDR	150000	1.33333e-05
10	BKDR	160000	1.25e-05
10	BKDR	170000	1.76471e-05
10	BKDR	180000	1.66667e-05
10	BKDR	190000	2.10526e-05
10	BKDR	200000	2.5e-05
10	BKDR	210000	2.38095e-05
10	BKDR	220000	2.27273e-05
10	BKDR	230000	2.17391e-05
10	BKDR	240000	2.08333e-05
10	BKDR	250000	2e-05
10	BKDR	260000	2.30769e-05
10	BKDR	270000	2.59259e-05
10	BKDR	280000	2.5e-05
10	BKDR	290000	2.41379e-05
10	BKDR	300000	2.33333e-05
10	BKDR	310000	2.58065e-05
10	BKDR	320000	2.8125e-05
10	BKDR	330000	2.72727e-05
10	BKDR	340000	2.64706e-05
10	BKDR	350000	2.85714e-05
10	BKDR	360000	3.33333e-05
10	BKDR	370000	3.24324e-05
10	BKDR	380000	3.15789e-05
10	BKDR	390000	3.58974e-05
10	BKDR	400000	3.5e-05
10	BKDR	410000	3.90244e-05
10	BKDR	420000	4.7619e-05
10	BKDR	430000	4.65116e-05
10	BKDR	440000	5.22727e-05
10	BKDR	450000	5.11111e-05
10	BKDR	460000	5e-05
10	BKDR	470000	5.10638e-05
10	BKDR	480000	5.41667e-05
10	BKDR	490000	5.5102e-05
10	BKDR	500000	5.6e-05
10	BKDR	510000	5.68627e-05
10	BKDR	520000	5.76923e-05
10	BKDR	530000	5.84906e-05
10	BKDR	540000	5.92593e-05
10	BKDR	550000	5.81818e-05
10	BKDR	560000	6.25e-05
10	BKDR	570000	6.31579e-05
10	BKDR	580000	6.2069e-05
10	BKDR	590000	6.44068e-05
10	BKDR	600000	7e-05
10	BKDR	610000	7.21311e-05
10	BKDR	620000	7.41935e-05
10	BKDR	630000	7.61905e-05
10	BKDR	640000	7.8125e-05
10	BKDR	650000	8.30769e-05
10	BKDR	660000	8.78788e-05
10	BKDR	670000	9.10448e-05
10	BKDR	680000	9.26471e-05
10	BKDR	690000	9.56522e-05
10	BKDR	700000	9.57143e-05
10	BKDR	710000	9.43662e-05
10	BKDR	720000	9.86111e-05
10	BKDR	730000	9.72603e-05
10	BKDR	740000	9.59459e-05
10	BKDR	750000	9.46667e-05
10	BKDR	760000	9.34211e-05
10	BKDR	770000	9.22078e-05
10	BKDR	780000	9.23077e-05
10	BKDR	790000	9.24051e-05
10	BKDR	800000	9.375e-05
10	BKDR	810000	9.38272e-05
10	BKDR	820000	9.26829e-05
10	BKDR	830000	9.27711e-05
10	BKDR	840000	9.28571e-05
10	BKDR	850000	9.29412e-05
10	BKDR	860000	9.18605e-05
10	BKDR	870000	9.1954e-05
10	BKDR	880000	9.31818e-05
10	BKDR	890000	9.21348e-05
10	BKDR	900000	9.44444e-05
10	BKDR	910000	9.56044e-05
10	BKDR	920000	9.67391e-05
10	BKDR	930000	0.000101075
10	BKDR	940000	0.000106383
10	BKDR	950000	0.000106316
10	BKDR	960000	0.000108333
10	BKDR	970000	0.000107216
10	BKDR	980000	0.000108163
10	BKDR	990000	0.000107071
10	BKDR	1000000	0.000107
